,parameter,rmse,model
87,"{'changepoint_prior_scale': 1.651256201258322, 'changepoint_range': 0.5319839033341491, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 46, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5708224803413489}",446.0255257371749,Prophet
88,"{'changepoint_prior_scale': 0.7014503021495588, 'changepoint_range': 0.5242615163825224, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3104382405380516}",351.2696823587278,Prophet
89,"{'changepoint_prior_scale': 1.566601825295105, 'changepoint_range': 0.5024801582467949, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4422264566141575}",350.6847092354021,Prophet
90,"{'changepoint_prior_scale': 1.2192592760565835, 'changepoint_range': 0.5149434644656254, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4650504535061862}",350.0196050054811,Prophet
91,"{'changepoint_prior_scale': 1.3618050003018518, 'changepoint_range': 0.5123374880254005, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6389301099392584}",350.6751396901345,Prophet
92,"{'changepoint_prior_scale': 1.8450547627632956, 'changepoint_range': 0.5149821064784995, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.7405957489664432}",350.1222597061462,Prophet
93,"{'changepoint_prior_scale': 0.8531120848318556, 'changepoint_range': 0.5370015914129771, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.43757728669878987}",352.7464739428275,Prophet
94,"{'changepoint_prior_scale': 1.2691466144145669, 'changepoint_range': 0.5283371011328494, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4914261134657501}",351.0522155103007,Prophet
95,"{'changepoint_prior_scale': 1.4072245721375192, 'changepoint_range': 0.5016576120398871, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3472419358007663}",351.4436919858947,Prophet
96,"{'changepoint_prior_scale': 1.2995878902109723, 'changepoint_range': 0.5071893269913659, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.34962414983739626}",350.13517093633374,Prophet
97,"{'changepoint_prior_scale': 1.610465460919142, 'changepoint_range': 0.5203577438659557, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3100586975468952}",464.4923377344407,Prophet
